月份,消费者信心指数_指数值,消费者信心指数_同比增长,消费者信心指数_环比增长,消费者满意指数_指数值,消费者满意指数_同比增长,消费者满意指数_环比增长,消费者预期指数_指数值,消费者预期指数_同比增长,消费者预期指数_环比增长,,,,,,,,,
2015年06月份,105.54,0.80%,-3.97%,101.78,3.43%,-2.70%,108,-0.83%,-4.76%,,,,,,,,,
2015年05月份,109.9,7.43%,2.14%,104.6,7.50%,1.85%,113.4,7.39%,2.25%,,,,,,,,,
2015年04月份,107.6,2.67%,0.47%,102.7,1.78%,0.39%,110.9,3.26%,0.54%,,,,,,,,,
2015年03月份,107.1,-0.74%,-2.46%,102.3,0.99%,-2.66%,110.3,-1.78%,-2.39%,,,,,,,,,
2015年02月份,109.8,6.50%,3.88%,105.1,7.91%,4.27%,113,5.61%,3.67%,,,,,,,,,
2015年01月份,105.7,4.55%,-0.09%,100.8,5.66%,-0.10%,109,3.81%,-0.09%,,,,,,,,,
2014年12月份,105.8,3.42%,0.28%,100.9,5.65%,0.60%,109.1,2.15%,0.09%,,,,,,,,,
2014年11月份,105.5,6.67%,2.03%,100.3,7.50%,2.56%,109,6.13%,1.68%,,,,,,,,,
2014年10月份,103.4,0.49%,-1.90%,97.8,1.88%,-3.07%,107.2,-0.28%,-1.11%,,,,,,,,,
2014年09月份,105.4,5.61%,1.54%,100.9,7.11%,1.92%,108.4,4.73%,1.31%,,,,,,,,,
2014年08月份,103.8,6.13%,-0.57%,99,7.49%,0.10%,107,5.31%,-0.93%,,,,,,,,,
2014年07月份,104.4,7.41%,-0.29%,98.9,8.21%,0.51%,108,6.93%,-0.83%,,,,,,,,,
2014年06月份,104.7,7.94%,2.35%,98.4,7.31%,1.13%,108.9,8.36%,3.13%,,,,,,,,,
2014年05月份,102.3,3.33%,-2.39%,97.3,4.18%,-3.57%,105.6,2.82%,-1.68%,,,,,,,,,
2014年04月份,104.8,1.06%,-2.87%,100.9,3.91%,-0.39%,107.4,-0.65%,-4.36%,,,,,,,,,
2014年03月份,107.9,5.17%,4.66%,101.3,7.20%,4.00%,112.3,4.08%,4.95%,,,,,,,,,
2014年02月份,103.1,-4.71%,1.98%,97.4,-3.18%,2.10%,107,-5.56%,1.90%,,,,,,,,,
2014年01月份,101.1,-3.25%,-1.17%,95.4,-0.73%,-0.10%,105,-4.63%,-1.69%,,,,,,,,,
2013年12月份,102.3,-1.35%,3.44%,95.5,-2.35%,2.36%,106.8,-0.74%,3.99%,,,,,,,,,
2013年11月份,98.9,-5.90%,-3.89%,93.3,-5.38%,-2.81%,102.7,-6.12%,-4.47%,,,,,,,,,
2013年10月份,102.9,-2.98%,3.11%,96,-5.10%,1.91%,107.5,-1.67%,3.86%,,,,,,,,,
2013年09月份,99.8,-1.03%,2.04%,94.2,-1.92%,2.28%,103.5,-0.52%,1.87%,,,,,,,,,
2013年08月份,97.8,-1.62%,0.62%,92.1,-0.92%,0.77%,101.6,-2.04%,0.59%,,,,,,,,,
2013年07月份,97.2,-1.02%,0.21%,91.4,-2.04%,-0.33%,101,-0.49%,0.50%,,,,,,,,,
2013年06月份,97,-2.32%,-2.02%,91.7,-1.71%,-1.82%,100.5,-2.62%,-2.14%,,,,,,,,,
2013年05月份,99,-4.97%,-4.53%,93.4,-3.85%,-3.81%,102.7,-5.67%,-5.00%,,,,,,,,,
2013年04月份,103.7,0.68%,1.07%,97.1,2.53%,2.75%,108.1,-0.37%,0.19%,,,,,,,,,
2013年03月份,102.6,2.55%,-5.18%,94.5,4.71%,-6.06%,107.9,1.24%,-4.77%,,,,,,,,,
