股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,3_分钟涨幅,5_分钟涨幅,10_分钟涨幅,20_分钟涨幅,30_分钟涨幅,60_分钟涨幅
贵州茅台,600519,2023-12-27 11:07,1669.01,1669.04,1669.07,1669.01,27,4506605.0,0.0,-0.06,-0.96,0.0,-0.06945276014849011,-0.11729503291442468,-0.15314668580999916,0.15542020462659653,0.17706126319706894,0.3631990378833412
贵州茅台,600519,2023-12-27 11:08,1668.98,1668.2,1668.98,1668.18,33,5505310.0,0.05,-0.05,-0.84,0.0,-0.10778443113772182,-0.12034414834062729,-0.19503906764146262,0.11102109400786969,0.13325490101922155,0.15790390076671104
贵州茅台,600519,2023-12-27 11:09,1668.18,1668.69,1668.69,1668.08,33,5505059.0,0.04,0.03,0.49,0.0,-0.020970138522738165,-0.09040833433121727,-0.14302127965147526,0.04436583830450608,0.23004937352090596,0.16867961677911647
贵州茅台,600519,2023-12-27 11:10,1668.98,1669.05,1669.06,1668.96,17,2836992.0,0.01,0.02,0.36,0.0,0.05095312312671796,-0.056886227544912904,-0.10952312553864757,0.06894897775645203,0.22157371379161592,0.07014893157780208
贵州茅台,600519,2023-12-27 11:11,1669.03,1669.04,1669.14,1668.0,44,7343074.0,0.07,0.0,-0.01,0.0,0.02097453691218315,0.0,-0.05808348453003438,0.05275273355073145,0.2324087030153012,0.06954936806004355
贵州茅台,600519,2023-12-27 11:12,1669.04,1670.24,1670.69,1668.35,58,9682555.0,0.14,0.07,1.2,0.0,0.07129804379737303,0.12228749550413402,-0.04548174745661226,0.12288768065987414,0.31170235128074564,0.31471471471471524
贵州茅台,600519,2023-12-27 11:13,1670.23,1668.51,1670.23,1668.0,12,2003258.0,0.13,-0.1,-1.73,0.0,-0.03175478119158155,-0.01078690469770081,-0.10178360804928993,-0.14901256732495566,0.19877492193129628,0.27284145747819755
贵州茅台,600519,2023-12-27 11:14,1668.6,1669.19,1669.19,1668.6,14,2336507.0,0.04,0.04,0.68,0.0,-0.0628652169748033,0.008388005152637731,-0.06047179978445641,-0.04670742588190044,0.2426207849142698,0.2552644539743174
贵州茅台,600519,2023-12-27 11:15,1669.18,1668.9,1669.19,1668.61,21,3504696.0,0.03,-0.02,-0.29,0.0,0.023374148192105534,-0.008388055409089816,-0.06586826347304844,-0.06586826347304844,0.23363223043706044,0.28663626038830986
贵州茅台,600519,2023-12-27 11:16,1668.91,1668.6,1668.91,1668.6,11,1835681.0,0.02,-0.02,-0.3,0.0,-0.03534648542108121,-0.09818948175113157,-0.02636245985716667,-0.13944330402830488,0.16267580692601605,0.27644230769230227
